Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0,-12958.08814,-5926.688632,18884.77677,59.24245637,-71.56308497,12.3206286,0
5.00E-05,-12685.7921,-6272.144524,18957.93663,60.14474098,-71.03977737,10.89503639,0
0.0001,-12414.69997,-6611.692497,19026.39246,60.9849397,-70.46499501,9.480055308,0
0.00015,-12159.64018,-6935.719569,19095.35975,61.64814799,-69.76509709,8.116949103,0
0.0002,-11932.40342,-7236.747019,19169.15044,62.0024004,-68.85670294,6.854302545,0
0.00025,-11732.24138,-7515.655606,19247.89699,61.9496336,-67.68055828,5.730924683,0
0.0003,-11550.73377,-7778.437706,19329.17148,61.42931961,-66.20397461,4.774655004,0
0.00035,-11380.09768,-8030.699013,19410.79669,60.42140828,-64.42265086,4.001242581,0
0.0004,-11213.78915,-8277.160448,19490.9496,58.94658153,-62.36019406,3.413612526,0
0.00045,-11041.78343,-8524.690363,19566.47379,57.06236115,-60.06486913,3.002507977,0
0.0005,-10852.86715,-8780.76995,19633.6371,54.85582015,-57.60407051,2.74825036,0
0.00055,-10639.82932,-9050.080954,19689.91028,52.43463004,-55.05776586,2.623135823,0
0.0006,-10397.64608,-9335.712074,19733.35815,49.91700055,-52.51144005,2.594439506,0
0.00065,-10121.99485,-9640.167806,19762.16266,47.42080421,-50.04864743,2.62784322,0
0.0007,-9811.937453,-9963.643795,19775.58125,45.05343407,-47.74426822,2.690834157,0
0.00075,-9469.519865,-10304.33757,19773.85743,42.9033125,-45.65900917,2.755696676,0
0.0008,-9098.763315,-10659.14564,19757.90895,41.03349446,-43.83536555,2.801871099,0
0.00085,-8705.678709,-11023.68118,19729.35988,39.47780717,-42.2953788,2.817571627,0
0.0009,-8297.173323,-11393.00372,19690.17704,38.23978215,-41.04010945,2.800327304,0
0.00095,-7881.043109,-11761.63517,19642.67828,37.29432079,-40.05099619,2.756675392,0
0.001,-7465.079232,-12124.11871,19589.19794,36.59172685,-39.29252264,2.700795791,0
0.00105,-7055.829643,-12475.83688,19531.66653,36.06361569,-38.71619253,2.652576838,0
0.0011,-6658.900567,-12812.78353,19471.6841,35.63000515,-38.26509217,2.635087019,0
0.00115,-6278.215056,-13132.05177,19410.26683,35.20710628,-37.87899183,2.671885549,0
0.0012,-5915.413418,-13432.06624,19347.47966,34.7166112,-37.49924791,2.782636713,0
0.00125,-5569.898927,-13712.46082,19282.35975,34.09395349,-37.0733188,2.979365307,0
0.0013,-5239.1689,-13974.09869,19213.26759,33.29294244,-36.55859655,3.265654118,0
0.00135,-4919.354275,-14218.91858,19138.27285,32.28863338,-35.92515272,3.636519337,0
